arm,N,batch,session,status,research_s,total_s,eval_pass,eval_mean,count_429,exhaustion
global_3x,1,global_3x_N1_r0,6421805620323680256,done,82.96157193183899,388.669979095459,0.875,0.8123750000000001,0,
global_3x,1,global_3x_N1_r1,3579752780476186624,done,329.9998469352722,622.2316188812256,0.875,0.804125,0,
global_3x,1,global_3x_N1_r2,8945334339650977792,done,101.50178694725037,479.4920241832733,0.875,0.775,0,
global_3x,1,global_3x_N1_r3,3422232346634485760,done,93.06264305114746,422.17685985565186,1,0.868875,2,
global_3x,5,global_3x_N5_r0,3480497666813591552,done,338.35467410087585,998.4592161178589,1,0.84375,6,
global_3x,5,global_3x_N5_r0,3691040949393162240,error,83.67691683769226,102.95557379722595,,,0,
global_3x,5,global_3x_N5_r0,4520829180736176128,done,99.82211804389954,703.7045152187347,0.875,0.84175,6,
global_3x,5,global_3x_N5_r0,8740702031582330880,done,79.87896299362183,697.3530530929565,1,0.831125,6,
global_3x,5,global_3x_N5_r0,9132515199163564032,done,102.18816304206848,694.5035130977631,0.875,0.8106249999999999,6,
global_3x,5,global_3x_N5_r1,1381116553017163776,done,799.0308890342712,1141.342115163803,1,0.8355,5,
global_3x,5,global_3x_N5_r1,1759418921716285440,done,85.16218304634094,829.0819771289825,1,0.83325,5,
global_3x,5,global_3x_N5_r1,3457275981234962432,done,91.4525511264801,829.84672498703,1,0.829125,5,
global_3x,5,global_3x_N5_r1,6330572543497338880,done,84.18216705322266,827.743045091629,1,0.82725,5,
global_3x,5,global_3x_N5_r1,6821464902880722944,error,89.37296199798584,812.2500820159912,1,0.83975,5,
global_3x,5,global_3x_N5_r2,2035545873869438976,done,85.42985796928406,679.4831368923187,0.875,0.829125,11,
global_3x,5,global_3x_N5_r2,3670352538604929024,done,85.94532322883606,672.6838240623474,1,0.866625,11,
global_3x,5,global_3x_N5_r2,5242108808557232128,done,89.85987091064453,1287.7903349399567,1,0.8665,13,
global_3x,5,global_3x_N5_r2,5989917452933267456,done,90.48376607894897,677.0784621238708,1,0.839625,11,
global_3x,5,global_3x_N5_r2,612408391620362240,error,92.22440195083618,101.25654792785645,,,2,
global_3x,5,global_3x_N5_r3,4410561358609776640,done,839.3021159172058,1077.333801984787,1,0.797875,7,_images_generated__retry_exhausted
global_3x,5,global_3x_N5_r3,4541165747803521024,done,101.37533903121948,878.0166778564453,1,0.831125,4,
global_3x,5,global_3x_N5_r3,5122130099734315008,done,90.23455595970154,872.3511888980865,1,0.8145,4,
global_3x,5,global_3x_N5_r3,6017220525674201088,error,139.74742603302002,1077.0948648452759,,,7,
global_3x,5,global_3x_N5_r3,9152851766230908928,done,74.93087720870972,874.4504301548004,1,0.85625,4,
regional_25,1,regional_25_N1_r0,5789894297608257536,done,85.2926619052887,371.0615930557251,1,0.837375,70,
regional_25,1,regional_25_N1_r1,5913180337407524864,done,125.06805396080017,489.8256039619446,1,0.864625,0,
regional_25,1,regional_25_N1_r2,4553761753011322880,done,426.73505115509033,742.2186000347137,0.875,0.8125,0,
regional_25,1,regional_25_N1_r3,6962906078677827584,done,103.44605803489685,407.28442883491516,1,0.8416250000000001,2,
regional_25,5,regional_25_N5_r0,1103582225980456960,done,96.262943983078,991.1184709072113,1,0.860375,3,
regional_25,5,regional_25_N5_r0,3100928660719271936,done,107.51398801803589,991.2212789058685,0.875,0.798,3,
regional_25,5,regional_25_N5_r0,4445253149489364992,done,97.09168195724487,997.5180370807648,1,0.8458749999999999,3,
regional_25,5,regional_25_N5_r0,4715469127131594752,done,123.38007712364197,1000.6233880519867,1,0.83525,3,
regional_25,5,regional_25_N5_r0,6922232944543137792,done,99.66598892211914,981.9981369972229,1,0.846,3,
regional_25,5,regional_25_N5_r1,1113996800118751232,done,178.63849687576294,1086.7443499565125,1,0.823,4,
regional_25,5,regional_25_N5_r1,4314085810342199296,error,91.01897287368774,661.5169579982758,1,0.841625,4,
regional_25,5,regional_25_N5_r1,5203265261771161600,done,117.73115301132202,779.2512860298157,0.875,0.789625,4,
regional_25,5,regional_25_N5_r1,591579243343773696,error,116.29898190498352,662.1290311813354,,,4,
regional_25,5,regional_25_N5_r1,8492018889658466304,done,115.6890869140625,937.2525250911713,1,0.837375,4,
regional_25,5,regional_25_N5_r2,1218916597687648256,done,115.85265898704529,1023.9316380023956,0.875,0.8125,1,
regional_25,5,regional_25_N5_r2,2968565052921085952,done,103.45692801475525,1040.5094528198242,1,0.841625,2,
regional_25,5,regional_25_N5_r2,4285867943926956032,done,112.24983406066895,1021.3559591770172,0.875,0.789625,1,
regional_25,5,regional_25_N5_r2,7870733247313870848,done,97.99670815467834,1020.0753030776978,1,0.85,1,
regional_25,5,regional_25_N5_r2,8249035616012992512,done,132.22669410705566,1045.5140459537506,1,0.8,2,
regional_25,5,regional_25_N5_r3,1531072346859765760,done,150.9452850818634,1073.573982000351,0.875,0.802125,4,
regional_25,5,regional_25_N5_r3,3836915356073459712,done,126.2142870426178,1066.4241979122162,1,0.856375,4,
regional_25,5,regional_25_N5_r3,4377769523822985216,done,103.88969993591309,1065.8468720912933,1,0.833375,4,
regional_25,5,regional_25_N5_r3,5296081635341500416,done,120.57701277732849,1066.2437579631805,1,0.8438749999999999,4,
regional_25,5,regional_25_N5_r3,6142758365287153664,done,127.20904088020325,1069.9090168476105,1,0.866625,4,
